rank,model,timeframe,horizon,hyperparams,mean_directional_accuracy,std_directional_accuracy,mean_mae,mean_rmse
1,xgboost,15m,0:30:00,"{'max_depth': 3, 'n_estimators': 200}",0.5156247917145085,0.008543587792412535,0.0030246539777734507,0.005038704476942659
2,xgboost,15m,0:30:00,"{'max_depth': 6, 'n_estimators': 200}",0.5142531159837417,0.007264840483819623,0.003129312481738991,0.005181329343755507
3,xgboost,15m,0:30:00,"{'max_depth': 3, 'n_estimators': 400}",0.5128814372814018,0.008036306972956276,0.003064505603692233,0.005107824001433729
4,random_forest,1d,"3 days, 0:00:00","{'max_depth': 4, 'n_estimators': 400}",0.5122604623184669,0.014867013001257886,0.042622315825311674,0.05843335834157121
5,random_forest,1d,"3 days, 0:00:00","{'max_depth': 4, 'n_estimators': 200}",0.5113323880725272,0.018542669190070634,0.04269492692193908,0.05854649143092613
6,xgboost,15m,0:30:00,"{'max_depth': 6, 'n_estimators': 400}",0.5101833751537828,0.008125485959978819,0.003238542910061234,0.005325477269401561
7,xgboost,1h,4:00:00,"{'max_depth': 6, 'n_estimators': 200}",0.5099754924208042,0.007135052185602175,0.010117037252509831,0.015181634537523251
8,xgboost,1h,4:00:00,"{'max_depth': 6, 'n_estimators': 400}",0.5077244258872651,0.0067931466102547165,0.010556415315971814,0.015686226703115515
9,random_forest,1d,"3 days, 0:00:00","{'max_depth': 8, 'n_estimators': 200}",0.5053299819541118,0.01426503764024099,0.043203827933234726,0.059112010618018226
10,xgboost,1h,4:00:00,"{'max_depth': 3, 'n_estimators': 400}",0.5046382862848324,0.0030009217985570076,0.010122167712649809,0.01511948484779348
11,random_forest,15m,0:30:00,"{'max_depth': 8, 'n_estimators': 400}",0.5044296827514871,0.00853411631691835,0.0030249943293864244,0.005034458510768213
12,random_forest,15m,0:30:00,"{'max_depth': 8, 'n_estimators': 200}",0.5041399629932597,0.008952023096519265,0.003024829821257147,0.005034399222319423
13,random_forest,1d,"3 days, 0:00:00","{'max_depth': 8, 'n_estimators': 400}",0.5039432413852367,0.012028224088391474,0.0431012857723934,0.058940717056712
14,xgboost,1d,"3 days, 0:00:00","{'max_depth': 6, 'n_estimators': 400}",0.5006917590444273,0.02314427072884337,0.05182286713645803,0.06874404742949544
15,xgboost,1d,"3 days, 0:00:00","{'max_depth': 6, 'n_estimators': 200}",0.5002255736014437,0.02668255726927202,0.05083824513371693,0.06764001781927806
16,xgboost,1h,4:00:00,"{'max_depth': 3, 'n_estimators': 200}",0.5001724607424889,0.003959684731744241,0.00923016088535578,0.014125928497103965
17,xgboost,1d,"3 days, 0:00:00","{'max_depth': 3, 'n_estimators': 200}",0.49930179599553154,0.019583169843073962,0.04938915820824295,0.06594843653151203
18,random_forest,15m,0:30:00,"{'max_depth': 4, 'n_estimators': 400}",0.4975984267713887,0.005723088348557533,0.00301378623723614,0.005014124374341391
19,random_forest,15m,0:30:00,"{'max_depth': 4, 'n_estimators': 200}",0.4972860692627961,0.0051148374753636535,0.0030138208907054425,0.005013852811846356
20,xgboost,1d,"3 days, 0:00:00","{'max_depth': 3, 'n_estimators': 400}",0.49281924035404306,0.022376713212232602,0.05339481081496152,0.07017776466007554
21,random_forest,1h,4:00:00,"{'max_depth': 8, 'n_estimators': 200}",0.4923481891622039,0.007140315760759456,0.008792216266293168,0.01377941807157038
22,random_forest,1h,4:00:00,"{'max_depth': 8, 'n_estimators': 400}",0.49182173005355356,0.006873686654381632,0.008806206230130488,0.01378731379044754
23,xgboost,4h,"1 day, 0:00:00","{'max_depth': 6, 'n_estimators': 200}",0.48997927511085404,0.02163358398079904,0.030697532634542102,0.041916231349861596
24,random_forest,1h,4:00:00,"{'max_depth': 4, 'n_estimators': 400}",0.4893528183716075,0.008630658336748514,0.008633998708567212,0.013661406393082068
25,random_forest,1h,4:00:00,"{'max_depth': 4, 'n_estimators': 200}",0.4885358990650812,0.00831917824875384,0.008636948970910614,0.01367125195342365
26,xgboost,4h,"1 day, 0:00:00","{'max_depth': 6, 'n_estimators': 400}",0.4879324914851231,0.018175784645926677,0.03239255071458174,0.04386768257078065
27,xgboost,4h,"1 day, 0:00:00","{'max_depth': 3, 'n_estimators': 400}",0.4832530043056359,0.026059018577043066,0.03202024300883767,0.04445826702447031
28,xgboost,4h,"1 day, 0:00:00","{'max_depth': 3, 'n_estimators': 200}",0.48047908232118763,0.02841593960029924,0.029043709146991996,0.04090200655979702
29,random_forest,4h,"1 day, 0:00:00","{'max_depth': 8, 'n_estimators': 400}",0.4798253646937858,0.014191572479185179,0.02454828354262927,0.035145856941632615
30,random_forest,4h,"1 day, 0:00:00","{'max_depth': 8, 'n_estimators': 200}",0.4796777199408778,0.011816688133010695,0.024573891973639544,0.03518230432535513
31,random_forest,4h,"1 day, 0:00:00","{'max_depth': 4, 'n_estimators': 400}",0.47608861898335586,0.019891690699493318,0.023568020370263128,0.03421233704226344
32,random_forest,4h,"1 day, 0:00:00","{'max_depth': 4, 'n_estimators': 200}",0.47579590000642635,0.019906275781227428,0.023587501714371538,0.034246275060811696
